Brand,Model,Year,SKUs
,,,
AMC,Ambassador,1970,TIK-STR-320376
AMC,Ambassador,1971,TIK-STR-320376
AMC,Ambassador,1972,TIK-STR-320376
AMC,Ambassador,1973,TIK-STR-320376
AMC,Ambassador,1974,TIK-STR-320376
,,,
AMC,Concord,1978,TIK-STR-320376
AMC,Concord,1979,TIK-STR-320376
AMC,Concord,1980,TIK-STR-320376
AMC,Concord,1981,TIK-STR-320376
AMC,Concord,1982,TIK-STR-320376
AMC,Concord,1983,TIK-STR-320376
,,,
Acura,CL,1995,"TIK-ILC-HD104, TIK-STR-692056"
Acura,CL,1996,"TIK-ILC-HD104, TIK-STR-692056"
Acura,CL,1997,"TIK-ACU-15R, TIK-ILC-HD103P, TIK-ILC-HD104, TIK-ILC-HD103, TIK-STR-692056, TIK-JMA-HOND16DP, TIK-JMA-HOND16D, TIT-DEC-82"
Acura,CL,1998,"TIK-ACU-15R, IT-AE-K, IK-HON-74, IK-ILC-HD106PT5, IK-ILC-HD106PT, IK-STR-692246, IK-HON-04, IK-HON-01, IK-ACU-01, IK-ILC-B101P, IK-ILC-HD103P, IK-ILC-B101, IK-ILC-HD104, IK-ILC-HD103, IK-STR-692056, IK-JMA-HOND32D, IK-JMA-HOND16DP, IK-JMA-HOND16D, IK-ILC-EB3HD111, IK-ILC-HON58RTEGTS, IK-HON-64, IK-JMA-TP00HOND21P, IT-DEC-82"
Acura,CL,1999,"TIK-ACU-15R, TIT-AE-K, TIK-HON-74, TIK-ILC-HD106PT5, TIK-ILC-HD106PT, TIK-STR-692246, TIK-HON-04, TIK-HON-01, TIK-ACU-01, TIK-ILC-B101P, TIK-ILC-HD103P, TIK-ILC-B101, TIK-ILC-HD103, TIK-JMA-HOND32D, TIK-JMA-HOND16DP, TIK-JMA-HOND16D, TIK-ILC-EB3HD111, TIK-ILC-HON58RTEGTS, TIK-HON-64, TIK-JMA-TP00HOND21P, TIT-DEC-82"
Acura,CL,2000,"TIT-AE-K, TIK-HON-74, TIK-ILC-HD106PT5, TIK-ILC-HD106PT, TIK-STR-692246, TIK-HON-04, TIK-HON-01, TIK-ACU-01, TIK-ILC-EB3HD111, TIK-ILC-HON58RTEGTS, TIK-HON-64, TIK-JMA-TP00HOND21P, TIT-DEC-82"
Acura,CL,2001,"TIK-ILC-187, TIK-ACU-18, TIT-AE-K, TIK-HON-74, TIK-ILC-HD106PT5, TIK-ILC-HD106PT, TIK-STR-692246, TIK-HON-04, TIK-HON-01, TIK-ACU-01, TIK-ILC-EB3HD111, TIK-ACU-55, TIK-ILC-HON58RTEGTS, TIK-HON-64, TIK-JMA-TP00HOND21P, TIT-DEC-82"
Acura,CL,2002,"TIK-ILC-187, TIK-ACU-18, TIT-AE-K, TIK-HON-74, TIK-ILC-HD106PT5, TIK-ILC-HD106PT, TIK-STR-692246, TIK-HON-04, TIK-HON-01, TIK-ACU-01, TIK-ILC-B101P, TIK-ILC-HD103P, TIK-ILC-B101, TIK-ILC-HD103, TIK-JMA-HOND32D, TIK-JMA-HOND16DP, TIK-JMA-HOND16D, TIK-ILC-EB3HD111, TIK-ACU-55, TIK-ILC-HON58RTEGTS, TIK-HON-64, TIK-JMA-TP00HOND21P, TIT-DEC-82"
Acura,CL,2003,"TIK-ILC-187, TIK-ACU-18, TIT-AE-K, TIK-HON-74, TIK-ILC-HD106PT5, TIK-ILC-HD106PT, TIK-STR-692246, TIK-HON-04, TIK-HON-01, TIK-ACU-01, TIK-ILC-B101P, TIK-ILC-HD103P, TIK-ILC-B101, TIK-ILC-HD103, TIK-JMA-HOND32D, TIK-JMA-HOND16DP, TIK-JMA-HOND16D, TIK-ILC-EB3HD111, TIK-ACU-55, TIK-ILC-HON58RTEGTS, TIK-HON-64, TIK-JMA-TP00HOND21P, TIT-DEC-82"
